position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type,commission_sum,volume_in,volume_out,account_group,base_lot_detected,source_file,base_lot,target_lot,lot_scale_factor,scaled_profit_sum,scaled_commission_sum,scaled_net_sum,scaled_volume_in,scaled_volume_out,scaled_cumulative_net_sum
642,US500.cash,BUY,2024-07-03 06:30:00+00:00,2024-07-03 17:00:00+00:00,5502.55,5519.09,1.65,1.65,3.8.114,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_US500.cash_28_3.8.114_BUY_M15_OOS.csv,0.1,8.3,83.0,136.95,0.0,136.95,8.3,8.3,136.95
644,US500.cash,BUY,2024-07-04 06:15:00+00:00,2024-07-05 01:05:00+00:00,5531.55,5531.65,-0.12,-0.12,3.8.114,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_US500.cash_28_3.8.114_BUY_M15_OOS.csv,0.1,8.3,83.0,-9.959999999999999,0.0,-9.959999999999999,8.3,8.3,126.99
646,US500.cash,BUY,2024-07-05 14:00:00+00:00,2024-07-05 15:30:40+00:00,5536.55,5545.98,0.94,0.94,3.8.114,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_US500.cash_28_3.8.114_BUY_M15_OOS.csv,0.1,8.3,83.0,78.02,0.0,78.02,8.3,8.3,205.01
648,US500.cash,BUY,2024-07-08 09:00:00+00:00,2024-07-08 14:38:20+00:00,5556.75,5568.16,1.14,1.14,3.8.114,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_US500.cash_28_3.8.114_BUY_M15_OOS.csv,0.1,8.3,83.0,94.61999999999999,0.0,94.61999999999999,8.3,8.3,299.63
650,US500.cash,BUY,2024-07-10 08:30:00+00:00,2024-07-10 14:45:40+00:00,5579.75,5589.55,0.98,0.98,3.8.114,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_US500.cash_28_3.8.114_BUY_M15_OOS.csv,0.1,8.3,83.0,81.34,0.0,81.34,8.3,8.3,380.97
652,US500.cash,BUY,2024-07-11 12:15:30+00:00,2024-07-11 15:30:40+00:00,5629.25,5638.66,0.94,0.94,3.8.114,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_US500.cash_28_3.8.114_BUY_M15_OOS.csv,0.1,8.3,83.0,78.02,0.0,78.02,8.3,8.3,458.99
654,US500.cash,BUY,2024-07-12 08:15:00+00:00,2024-07-12 15:30:40+00:00,5584.55,5572.8,-1.18,-1.18,3.8.114,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_US500.cash_28_3.8.114_BUY_M15_OOS.csv,0.1,8.3,83.0,-97.94,0.0,-97.94,8.3,8.3,361.05
656,US500.cash,BUY,2024-07-17 07:45:00+00:00,2024-07-17 09:16:40+00:00,5656.85,5646.72,-1.01,-1.01,3.8.114,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_US500.cash_28_3.8.114_BUY_M15_OOS.csv,0.1,8.3,83.0,-83.83,0.0,-83.83,8.3,8.3,277.22
658,US500.cash,BUY,2024-07-18 13:15:00+00:00,2024-07-18 17:44:20+00:00,5591.95,5575.64,-1.63,-1.63,3.8.114,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_US500.cash_28_3.8.114_BUY_M15_OOS.csv,0.1,8.3,83.0,-135.29,0.0,-135.29,8.3,8.3,141.93000000000004
660,US500.cash,BUY,2024-08-01 10:00:00+00:00,2024-08-01 17:22:40+00:00,5540.95,5519.98,-2.1,-2.1,3.8.114,DEMO,OOS,0.0,0.1,0.1,DEMO_ACCOUNT,0.1,C:\Users\Leon\Desktop\QUANT\Data_Center\Data\2_Baseline\Trades\Backtest\DEMO_ACCOUNT\OOS\listOfTrades_US500.cash_28_3.8.114_BUY_M15_OOS.csv,0.1,8.3,83.0,-174.3,0.0,-174.3,8.3,8.3,-32.369999999999976
