date,symbol,timeframe,bars,open,high,low,close,net_move,daily_range,path_length,trend_efficiency,path_efficiency,noise_ratio,up_run_count,down_run_count,total_run_count,avg_up_run_length,max_up_run_length,avg_down_run_length,max_down_run_length,pullback_count,pullback_ratio,avg_body_size,avg_upper_wick,avg_lower_wick,max_upper_wick,max_lower_wick,wick_ratio,new_high_count,new_low_count,high_break_acceptance,low_break_acceptance,failed_high_breakouts,failed_low_breakouts,false_breakout_ratio,direction_changes,largest_candle,largest_candle_pct_of_day,top_3_candles_share,atr_spike_count
2022-03-25,AUDJPY,M15,15,91.701,91.933,91.633,91.757,0.056000000000011596,0.30000000000001137,0.6280000000000143,0.08917197452230942,0.18666666666669823,0.9108280254776906,2,2,4,4.0,6.0,3.0,4.0,3,0.2,0.045466666666665864,0.010200000000000386,0.013933333333334493,0.0379999999999967,0.046999999999997044,0.3769733351663688,5,0,0.6,0.0,1,0,0.2,3,0.10999999999999943,0.3666666666666509,1.0199999999999527,0
2022-03-28,AUDJPY,M15,96,91.615,94.31,91.595,92.849,1.2340000000000089,2.7150000000000034,8.551000000000045,0.14431060694655623,0.45451197053407266,0.8556893930534437,25,25,50,2.2,11.0,1.6,9.0,49,0.5104166666666666,0.09027083333333434,0.0336458333333319,0.04235416666666728,0.42799999999999727,0.3340000000000032,0.47888299300070214,21,0,0.8095238095238095,0.0,3,0,0.14285714285714285,49,0.6129999999999995,0.22578268876611374,0.5388581952117887,10
2022-03-29,AUDJPY,M15,96,92.664,93.121,91.446,92.274,0.39000000000000057,1.6749999999999972,8.715000000000046,0.04475043029259879,0.23283582089552313,0.9552495697074012,23,20,43,2.1739130434782608,8.0,2.15,6.0,40,0.4166666666666667,0.09139583333333379,0.04120833333333218,0.03930208333333388,0.19899999999999807,0.14699999999999136,0.5155867106632817,4,9,1.0,0.3333333333333333,0,2,0.15384615384615385,40,0.6880000000000024,0.41074626865671854,0.9205970149253672,12
2022-03-30,AUDJPY,M15,96,92.203,92.646,91.138,91.5,0.703000000000003,1.5079999999999956,7.791999999999945,0.09022073921971355,0.4661803713527885,0.9097792607802865,23,24,47,2.0,5.0,2.0,5.0,46,0.4791666666666667,0.08117708333333207,0.02737500000000015,0.03940625000000061,0.13300000000000978,0.17799999999999727,0.49143285852383406,7,8,0.7142857142857143,0.5,1,3,0.26666666666666666,46,0.39799999999999613,0.26392572944296905,0.7659151193633982,12
2022-03-31,AUDJPY,M15,96,91.48,92.08,90.761,91.065,0.41500000000000625,1.3190000000000026,5.4910000000000565,0.0755782189036609,0.3146322971948487,0.9244217810963391,19,20,39,2.3684210526315788,7.0,2.5,8.0,38,0.3958333333333333,0.0572291666666677,0.030708333333332078,0.035114583333334025,0.22799999999999443,0.269999999999996,0.5312990734091135,8,11,0.625,0.36363636363636365,1,4,0.2631578947368421,38,0.5319999999999965,0.4033358605003756,0.8733889310083387,9
2022-04-01,AUDJPY,M15,96,91.004,92.326,91.004,91.862,0.8579999999999899,1.3219999999999885,5.093999999999937,0.16843345111896357,0.649016641452343,0.8315665488810364,26,26,52,1.8461538461538463,6.0,1.7692307692307692,8.0,51,0.53125,0.05327083333333249,0.026947916666667293,0.027791666666666586,0.12700000000000955,0.12399999999999523,0.5268615794605834,28,0,0.39285714285714285,0.0,8,0,0.2857142857142857,51,0.2879999999999967,0.2178517397881991,0.566565809379729,4
2022-04-04,AUDJPY,M15,96,91.796,92.746,91.572,92.636,0.8399999999999892,1.1739999999999924,4.0049999999999955,0.20973782771535335,0.7155025553662646,0.7902621722846467,24,23,47,2.375,7.0,1.6521739130434783,4.0,46,0.4791666666666667,0.04159374999999995,0.020697916666666167,0.02331249999999896,0.08500000000000796,0.12399999999999523,0.5513268390430079,19,3,0.5789473684210527,0.3333333333333333,3,0,0.13636363636363635,46,0.19899999999999807,0.16950596252129418,0.4770017035775057,3
2022-04-05,AUDJPY,M15,96,92.605,94.165,92.277,93.638,1.0330000000000013,1.8880000000000052,5.349999999999994,0.19308411214953314,0.5471398305084737,0.8069158878504669,22,23,45,2.3636363636363638,7.0,1.8695652173913044,7.0,44,0.4583333333333333,0.05577083333333421,0.023749999999999716,0.028489583333333474,0.15400000000001057,0.16199999999999193,0.5359512522020692,22,5,0.4090909090909091,0.6,3,1,0.14814814814814814,44,0.777000000000001,0.4115466101694909,0.6822033898305049,13
2022-04-06,AUDJPY,M15,96,93.57,94.133,92.721,92.962,0.6079999999999899,1.411999999999992,4.731999999999957,0.128486897717666,0.43059490084985363,0.871513102282334,26,26,52,1.8846153846153846,4.0,1.6923076923076923,6.0,49,0.5104166666666666,0.04975000000000026,0.03114583333333328,0.023291666666666266,0.22299999999999898,0.09799999999999898,0.5589667468633875,10,9,0.7,0.6666666666666666,3,2,0.2631578947368421,49,0.4969999999999999,0.3519830028328631,0.77195467422097,6
2022-04-07,AUDJPY,M15,96,92.91,93.182,92.411,92.726,0.1839999999999975,0.7710000000000008,4.5909999999999656,0.04007841428882572,0.23865110246432855,0.9599215857111743,26,26,52,1.9230769230769231,7.0,1.7307692307692308,5.0,51,0.53125,0.0477812499999987,0.023552083333333734,0.02296875000000087,0.09799999999999898,0.10500000000000398,0.5131883583880915,3,11,1.0,0.45454545454545453,0,2,0.14285714285714285,51,0.23699999999999477,0.30739299610894233,0.817120622568105,6
2022-04-08,AUDJPY,M15,96,92.7,92.896,92.462,92.717,0.016999999999995907,0.4339999999999975,3.5879999999998944,0.004738015607579824,0.03917050691243319,0.9952619843924202,28,29,57,1.75,6.0,1.4137931034482758,3.0,55,0.5729166666666666,0.03743749999999949,0.01987500000000031,0.021072916666666924,0.07500000000000284,0.07900000000000773,0.5633918548801187,7,5,0.42857142857142855,0.6,4,1,0.4166666666666667,55,0.2150000000000034,0.49539170506913516,1.4055299539170574,6
2022-04-11,AUDJPY,M15,96,92.502,93.618,92.502,93.02,0.5180000000000007,1.1159999999999997,4.696999999999974,0.11028315946348809,0.46415770609319074,0.8897168405365119,22,21,43,2.227272727272727,6.0,2.142857142857143,7.0,42,0.4375,0.04964583333333339,0.025802083333333076,0.021989583333334117,0.08399999999998897,0.09999999999999432,0.5224150516866904,20,0,0.6,0.0,3,0,0.15,42,0.25199999999999534,0.2258064516128991,0.6021505376344062,6
2022-04-12,AUDJPY,M15,96,93.02,93.803,92.831,93.464,0.4440000000000026,0.9719999999999942,4.333000000000027,0.10246942072467109,0.45679012345679554,0.8975305792753289,22,22,44,2.1818181818181817,5.0,2.1363636363636362,6.0,43,0.4479166666666667,0.04563541666666593,0.023114583333334455,0.023104166666666703,0.13900000000001,0.16499999999999204,0.5030908996850881,16,1,0.5,1.0,3,0,0.17647058823529413,43,0.3219999999999885,0.3312757201645992,0.9742798353909405,8
2022-04-13,AUDJPY,M15,96,93.398,93.865,93.015,93.656,0.2580000000000098,0.8499999999999943,4.0539999999998315,0.06364084854465232,0.3035294117647194,0.9363591514553476,24,24,48,2.125,6.0,1.7916666666666667,7.0,47,0.4895833333333333,0.042385416666665655,0.0238958333333336,0.024260416666667044,0.09599999999998943,0.09900000000000375,0.5544190427853165,12,6,0.6666666666666666,0.5,2,0,0.1111111111111111,47,0.21600000000000819,0.2541176470588349,0.7188235294117744,3
2022-04-14,AUDJPY,M15,96,93.574,93.686,93.124,93.366,0.2079999999999984,0.5620000000000118,3.975999999999985,0.052313883299798594,0.37010676156582567,0.9476861167002014,26,26,52,1.8461538461538463,5.0,1.8076923076923077,5.0,51,0.53125,0.04162499999999921,0.021114583333334675,0.02272916666666654,0.07200000000000273,0.09900000000000375,0.5586325260329388,2,9,1.0,0.4444444444444444,0,4,0.36363636363636365,51,0.29000000000000625,0.5160142348754451,1.2562277580071217,7
2022-04-15,AUDJPY,M15,96,93.366,93.781,93.301,93.413,0.046999999999997044,0.480000000000004,2.699999999999946,0.01740740740740666,0.0979166666666597,0.9825925925925934,22,23,45,2.0454545454545454,5.0,2.0434782608695654,6.0,43,0.4479166666666667,0.0281874999999987,0.018604166666667716,0.015093749999999387,0.08500000000000796,0.08299999999999841,0.5659004465728524,10,3,0.3,0.3333333333333333,3,2,0.38461538461538464,43,0.17300000000000182,0.3604166666666675,1.0166666666666868,10
2022-04-18,AUDJPY,M15,96,93.401,93.72,93.077,93.344,0.05700000000000216,0.6430000000000007,3.412000000000063,0.016705744431418847,0.08864696734059424,0.9832942555685812,27,29,56,1.5925925925925926,4.0,1.7586206896551724,5.0,54,0.5625,0.03592708333333464,0.01737499999999992,0.015895833333333147,0.0870000000000033,0.058000000000006935,0.5189215369248282,6,7,0.5,0.8571428571428571,2,0,0.15384615384615385,54,0.23699999999999477,0.3685847589424487,0.8258164852255138,6
2022-04-19,AUDJPY,M15,96,93.29,95.134,93.259,95.08,1.789999999999992,1.875,5.469999999999999,0.32723948811700043,0.9546666666666624,0.6727605118829996,21,21,42,2.7142857142857144,8.0,1.8095238095238095,7.0,41,0.4270833333333333,0.05714583333333367,0.023843749999999424,0.025947916666666366,0.08599999999999852,0.1280000000000001,0.5181942037599151,38,1,0.6052631578947368,0.0,9,1,0.2564102564102564,41,0.3669999999999902,0.19573333333332812,0.470933333333331,7
